Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp,Avg Resp,Min Resp,Max Resp
Running,2019-09-26 20:11:22,false,"Bang Phli Running","6.11","372","00:46:52","161","175","3.8","158","164","7:40","1:23","--","8","0.83","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","29.0","0:00","No","00:40.14","7","0.0","--","--","--"
Road Cycling,2019-09-26 17:53:00,false,"Bang Phli Road Cycling","70.38","857","02:01:25","135","167","3.5","--","--","34.8","42.9","3","17","0.00","0.0","0.0","--","78","155","132","49% L / 51% R","38.2","142","118","578","0.0","0.0","9404","--","--","0:00","29.0","0:00","No","00:25.79","4","0.0","--","--","--"
Road Cycling,2019-09-26 17:46:05,false,"Bang Phli Road Cycling","1.57","21","00:03:52.9","108","130","0.3","--","--","24.2","26.7","--","--","0.00","0.0","0.0","--","79","92","94","51% L / 49% R","0.5","--","90","155","0.0","0.0","307","--","--","0:00","31.0","0:00","No","00:00.00","1","0.0","--","--","--"
Running,2019-09-24 20:05:27,false,"Bang Phli Running","5.39","346","00:40:04","162","186","4.1","157","164","7:26","6:40","15","17","0.86","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","28.0","0:00","No","02:39.34","6","0.0","24","24","24"
Road Cycling,2019-09-24 17:54:57,false,"Bang Phli Road Cycling","70.30","988","01:47:31","146","174","4.7","--","--","39.2","50.7","4","15","0.00","0.0","0.0","--","79","153","172","48% L / 52% R","57.2","170","153","653","0.0","0.0","8492","--","--","0:00","28.0","0:00","No","00:01.76","4","0.0","--","--","--"
Road Cycling,2019-09-22 06:26:13,false,"Bang Phli Road Cycling","101.70","1,478","03:15:05","128","168","3.5","--","--","31.3","42.3","38","52","0.00","0.0","0.0","--","76","164","141","47% L / 53% R","70.0","166","126","628","0.0","0.0","14137","--","--","0:00","23.0","0:00","No","00:03.85","3","0.0","--","--","--"
Road Cycling,2019-09-21 06:31:45,false,"Bang Phli Road Cycling","117.36","1,669","03:41:18","143","171","4.9","--","--","31.8","44.2","14","24","0.00","0.0","0.0","--","76","167","137","48% L / 52% R","74.2","167","126","639","0.0","0.0","16523","--","--","0:00","24.0","0:00","No","00:46.19","5","0.0","--","--","--"
Road Cycling,2019-09-19 17:49:24,false,"Bang Phli Road Cycling","34.16","396","01:08:10","127","167","3.0","--","--","30.1","41.4","28","38","0.00","0.0","0.0","--","75","156","125","50% L / 50% R","19.1","129","97","536","0.0","0.0","4556","--","--","0:00","26.0","0:00","No","24:20.77","2","0.0","--","--","--"
Road Cycling,2019-09-17 17:47:40,false,"Bang Phli Road Cycling","23.44","308","00:42:22","130","176","2.7","--","--","33.2","51.1","1","10","0.00","0.0","0.0","--","80","145","147","50% L / 50% R","16.2","137","121","630","0.0","0.0","3344","--","--","0:00","28.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2019-09-17 17:31:11,false,"Bang Phli Road Cycling","3.06","41","00:07:57.9","104","124","0.4","--","--","23.1","27.6","3","7","0.00","0.0","0.0","--","83","99","104","53% L / 47% R","1.5","--","87","252","0.0","0.0","643","--","--","0:00","29.0","0:00","No","00:00.00","1","0.0","--","--","--"
